Diamond #,Cut Type,X (px),Y (px),Width (px),Height (px),Area (px²),Aspect Ratio
1,Marquise,756,1,4.0,8.0,17.5,2.0
2,Round,775,6,4.3,5.4,12.0,1.26
3,Marquise,778,9,8.9,3.9,22.5,2.29
4,Marquise,784,16,9.2,14.2,62.5,1.55
5,Baguette,803,29,12.2,2.4,12.0,5.04
6,Marquise,791,26,5.6,11.9,31.5,2.13
7,Round,255,31,4.0,5.0,14.5,1.25
8,Baguette,816,29,3.4,17.0,19.5,5.04
9,Round,254,36,6.1,8.7,28.5,1.43
10,Baguette,797,38,9.1,28.6,29.0,3.15
11,Marquise,253,54,4.5,7.1,14.5,1.58
12,Marquise,248,58,9.0,4.6,21.5,1.96
13,Round,840,60,10.4,12.0,82.0,1.15
14,Marquise,248,61,15.9,9.0,47.0,1.76
15,Marquise,245,70,6.5,4.3,19.5,1.52
16,Round,851,68,13.9,16.1,144.0,1.16
17,Round,866,76,12.6,8.6,73.5,1.47
18,Round,844,78,10.7,14.8,107.0,1.39
19,Round,880,85,10.1,11.5,82.0,1.13
20,Round,854,87,14.2,11.2,87.0,1.27
21,Marquise,234,90,6.4,3.8,17.5,1.68
22,Round,895,94,14.5,11.7,110.0,1.24
23,Baguette,226,99,11.3,4.2,27.5,2.67
24,Round,866,97,11.3,14.8,134.0,1.31
25,Round,906,103,12.3,13.7,106.5,1.11
26,Marquise,218,107,13.4,5.7,41.5,2.37
27,Marquise,877,107,12.3,23.9,156.0,1.94
28,Round,915,110,10.9,16.4,114.5,1.5
29,Marquise,210,117,13.4,6.4,47.0,2.11
30,Round,892,121,14.3,10.2,67.5,1.41
31,Round,931,123,12.0,16.5,92.5,1.37
32,Marquise,203,130,9.9,4.9,28.0,2.02
33,Round,904,129,11.0,9.0,66.0,1.22
34,Round,947,132,9.2,10.6,79.0,1.15
35,Marquise,908,133,10.0,21.6,112.0,2.15
36,Marquise,196,136,10.2,4.8,24.5,2.15
37,Round,926,133,17.0,24.5,250.5,1.44
38,Round,945,149,10.0,14.0,92.0,1.4
39,Round,915,148,11.8,13.5,98.5,1.15
40,Baguette,181,156,13.9,4.7,38.5,2.94
41,Round,931,161,10.0,11.0,79.5,1.1
42,Marquise,956,163,17.3,26.3,233.0,1.52
43,Round,943,175,8.9,13.0,65.5,1.45
44,Marquise,976,174,14.1,9.2,80.5,1.54
45,Marquise,169,180,12.0,5.2,35.0,2.29
46,Round,977,183,13.9,17.8,128.5,1.28
47,Round,954,184,12.4,12.8,111.5,1.03
48,Baguette,163,191,12.0,3.8,23.5,3.16
49,Round,991,187,17.2,20.0,211.5,1.16
50,Marquise,963,193,12.8,20.5,160.0,1.61
51,Marquise,1002,204,17.0,10.1,100.0,1.69
52,Round,156,210,12.1,8.9,55.0,1.35
53,Round,1003,212,17.9,22.4,128.5,1.25
54,Round,153,219,8.0,11.2,51.5,1.39
55,Marquise,969,210,10.5,17.3,100.0,1.66
56,Marquise,1012,221,14.8,9.4,87.0,1.57
57,Round,149,226,10.9,10.7,67.0,1.02
